# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
7.700000000000000000e+01 1.216141045292579489e-07 5.391730971200458779e-08 2.506780062261592776e-08 4.578325709031519202e-08 1.875295673571007030e-07 1.665950464453741839e-08 6.866289641718925075e-09 1.000824611671114781e-08
7.800000000000000000e+01 1.208996452756284518e-07 5.397050674078176503e-08 2.513945432298164023e-08 4.595851557592839491e-08 1.875629065610723478e-07 1.666122713409396356e-08 6.876792295369076593e-09 1.002027105544898042e-08
7.900000000000000000e+01 1.201866366300362808e-07 5.402427692223315752e-08 2.521219111088278923e-08 4.613705211615498613e-08 1.875970114741794159e-07 1.666297918520984360e-08 6.887433948452318691e-09 1.003244196318821815e-08
8.000000000000000000e+01 1.194728282338274009e-07 5.407859317219909496e-08 2.528601524185681183e-08 4.631888405213894974e-08 1.876318881670219399e-07 1.666476061217399141e-08 6.898213439318272817e-09 1.004475798749352932e-08
8.100000000000000000e+01 1.187603650392432216e-07 5.413347966374320612e-08 2.536093387559311457e-08 4.650406607928818521e-08 1.876675326236625304e-07 1.666657090613650570e-08 6.909131390417776556e-09 1.005721859716880117e-08
8.200000000000000000e+01 1.180491975364599001e-07 5.418891018527967666e-08 2.543695237063976955e-08 4.669262960662123769e-08 1.877039519012908922e-07 1.666840993036137063e-08 6.920186999927737647e-09 1.006982308955977798e-08
8.300000000000000000e+01 1.173414722832964921e-07 5.424490541018358593e-08 2.551407713626840476e-08 4.688461772093873868e-08 1.877411400083160818e-07 1.667027718087143715e-08 6.931380454726485043e-09 1.008257077204842115e-08
8.400000000000000000e+01 1.166327564694814688e-07 5.430144280863215233e-08 2.559231451408989789e-08 4.708008024731030840e-08 1.877791039326545910e-07 1.667217254832098209e-08 6.942711431576889833e-09 1.009546106308446796e-08
8.500000000000000000e+01 1.159273941073665244e-07 5.435854207482562348e-08 2.567166974505560031e-08 4.727904373958313183e-08 1.878178373853069355e-07 1.667409559327643278e-08 6.954179601615956827e-09 1.010849306767872847e-08
8.600000000000000000e+01 1.152253426862275118e-07 5.441618080446115090e-08 2.575215095191274818e-08 4.748157615337886504e-08 1.878573458736082288e-07 1.667604619850743670e-08 6.965785097427304805e-09 1.012166643476580635e-08
8.700000000000000000e+01 1.145243703940098617e-07 5.447437013207168077e-08 2.583376199609728096e-08 4.768770119611933904e-08 1.878976222701975922e-07 1.667802397514578675e-08 6.977527232157628520e-09 1.013498003190389268e-08
8.800000000000000000e+01 1.138266309373486677e-07 5.453309535505261023e-08 2.591651227767694111e-08 4.789748373491922344e-08 1.879386711050719992e-07 1.668002879208531460e-08 6.989406214316895177e-09 1.014843365507322050e-08
8.900000000000000000e+01 1.131298971865763756e-07 5.459236970412285062e-08 2.600040523867304416e-08 4.811094674563085041e-08 1.879804845730162025e-07 1.668206030338932404e-08 7.001421291879266423e-09 1.016202608250604853e-08
9.000000000000000000e+01 1.124363250418030110e-07 5.465217301240611191e-08 2.608545017487448110e-08 4.832814962300553636e-08 1.880230652458908983e-07 1.668411836823038196e-08 7.013572384197583916e-09 1.017575704481463709e-08
9.100000000000000000e+01 1.117458806992474313e-07 5.471252688511499543e-08 2.617165121492710515e-08 4.854913514012773114e-08 1.880638377175429443e-07 1.668620270174423416e-08 7.025855711761056451e-09 1.018962540823234659e-08
9.200000000000000000e+01 1.110585318326894450e-07 5.477340304098102523e-08 2.625901712109406605e-08 4.877395500526364082e-08 1.881053045888944356e-07 1.668831315993229181e-08 7.038274252122933860e-09 1.020363077568156797e-08
9.300000000000000000e+01 1.103764355686361915e-07 5.483482550768631111e-08 2.634755320171356281e-08 4.900266112937298664e-08 1.881452133912243484e-07 1.669044951171773989e-08 7.050824913780922651e-09 1.021777217215656896e-08
9.400000000000000000e+01 1.096951856962723058e-07 5.489676840291154088e-08 2.643726664401976233e-08 4.923529061680707306e-08 1.881859329327961514e-07 1.669261158892196504e-08 7.063510057460950499e-09 1.023204890999026651e-08
9.500000000000000000e+01 1.090169424237759874e-07 5.495924600159627494e-08 2.652816454097283873e-08 4.947190453183794245e-08 1.882261070080780723e-07 1.669479920726341054e-08 7.076327936053267798e-09 1.024646025960815433e-08
9.600000000000000000e+01 1.083438651860975000e-07 5.502224107559250447e-08 2.662025328046290630e-08 4.971254547333400214e-08 1.882674797363157270e-07 1.669701220330932577e-08 7.089280189818753112e-09 1.026100537314820698e-08
9.700000000000000000e+01 1.076737404136730492e-07 5.508576186626618126e-08 2.671354012301055743e-08 4.995727169020098439e-08 1.883095970747665567e-07 1.669925042174263092e-08 7.102366134601661249e-09 1.027568351556560570e-08
9.800000000000000000e+01 1.070065431636705318e-07 5.514979712165930150e-08 2.680803178108299592e-08 5.020613565694383790e-08 1.883535829608508947e-07 1.670151370515749934e-08 7.115586812390515873e-09 1.029049384902555568e-08
9.900000000000000000e+01 1.063422495060471059e-07 5.521435771299737365e-08 2.690373572899778652e-08 5.045919767946712781e-08 1.883996392894802400e-07 1.670380192737172735e-08 7.128942513964891130e-09 1.030543563970051714e-08
1.000000000000000000e+02 1.056830212700920898e-07 5.527942534514506917e-08 2.700065817185364270e-08 5.071650997262141965e-08 1.884486752175200539e-07 1.670611495283091671e-08 7.142433773606565536e-09 1.032050794356912210e-08
1.010000000000000000e+02 1.050288351167322879e-07 5.534501917829194492e-08 2.709880725195495098e-08 5.097812332062298533e-08 1.884966315636396073e-07 1.670845266266105409e-08 7.156054682806052318e-09 1.033571008701227932e-08
1.020000000000000000e+02 1.043753007281389786e-07 5.541111224383178288e-08 2.719818872635629905e-08 5.124410368984390335e-08 1.885440729016004447e-07 1.671081493291405799e-08 7.169805267186730095e-09 1.035104102665403674e-08
1.030000000000000000e+02 1.037289496424448995e-07 5.547772092681400675e-08 2.729881126899780288e-08 5.151449707480363374e-08 1.885912268544399033e-07 1.671320165547530808e-08 7.183685574500221890e-09 1.036650012978210252e-08
1.040000000000000000e+02 1.030832104873384919e-07 5.554482568488662713e-08 2.740068055799585361e-08 5.178938523614461484e-08 1.886387324709400813e-07 1.671561274235538577e-08 7.197696109430537343e-09 1.038208631822652044e-08
1.050000000000000000e+02 1.024446139101495553e-07 5.561243983149392229e-08 2.750380500511116227e-08 5.206880739669615732e-08 1.886864266662163308e-07 1.671804810092539176e-08 7.211836091191453109e-09 1.039779888760822094e-08
1.060000000000000000e+02 1.018087748157998607e-07 5.568054246012374242e-08 2.760819120679069244e-08 5.235284351830728747e-08 1.887354212907205482e-07 1.672050766190732847e-08 7.226106657905761072e-09 1.041363686247316633e-08
1.070000000000000000e+02 1.011756758609835049e-07 5.574915002756832835e-08 2.771384618833661753e-08 5.264154201017026048e-08 1.887849013775000763e-07 1.672299131944633705e-08 7.240506142364798551e-09 1.042959929708884147e-08
1.080000000000000000e+02 1.005496635354942877e-07 5.581823769536710890e-08 2.782077815430539505e-08 5.293497700342237026e-08 1.888364988874134870e-07 1.672549904207709896e-08 7.255036323648461190e-09 1.044568542323580980e-08
1.090000000000000000e+02 9.992417587341298255e-08 5.588782925138986847e-08 2.792899331395448829e-08 5.323319861200136968e-08 1.888886977339848903e-07 1.672803075068148269e-08 7.269694534705955062e-09 1.046189415387808888e-08
1.100000000000000000e+02 9.930574109998500272e-08 5.595789368190869120e-08 2.803849988598411426e-08 5.353629334571848383e-08 1.889432999018759211e-07 1.673058642841163894e-08 7.284482874865395941e-09 1.047822469217168519e-08
1.110000000000000000e+02 9.868998115189550959e-08 5.602846322162832382e-08 2.814930422828405849e-08 5.384430376116567994e-08 1.889984852448890787e-07 1.673316602399213709e-08 7.299398158263890908e-09 1.049467594952292435e-08
1.120000000000000000e+02 9.807906185179447405e-08 5.609949828916399019e-08 2.826141451695376366e-08 5.415732703840563337e-08 1.890542461115802447e-07 1.673576951472636204e-08 7.314439755878066766e-09 1.051124708565945425e-08
1.130000000000000000e+02 9.747296834329445148e-08 5.617102689772992936e-08 2.837483741452650131e-08 5.447540493834881594e-08 1.891105749599442341e-07 1.673839687021203817e-08 7.329607023778739135e-09 1.052793703006032395e-08
1.140000000000000000e+02 9.686950680591599721e-08 5.624301663965359408e-08 2.848958093838698335e-08 5.479862800961504197e-08 1.891674650688757778e-07 1.674104808379353128e-08 7.344899239466373447e-09 1.054474489273134314e-08
1.150000000000000000e+02 9.627084355426891489e-08 5.631548799099159457e-08 2.860565156709909592e-08 5.512705394116263500e-08 1.892249093300296750e-07 1.674372313943448276e-08 7.360315838944115686e-09 1.056166955249400440e-08
1.160000000000000000e+02 9.567696521804199951e-08 5.638841860668263286e-08 2.872305766546899663e-08 5.546076595631400539e-08 1.892829014902310912e-07 1.674642205044300442e-08 7.375856079861669052e-09 1.057871014250527155e-08
