#MV iteative lensing noise curves
# \ell Mask0 Mask1 Mask2
3.500000000000000000e+01 1.833215052222010395e-11 1.898240685266435874e-11 2.009417081045003344e-11
3.600000000000000000e+01 1.737001221649632833e-11 1.798597326627909319e-11 1.903917837811916676e-11
3.700000000000000000e+01 1.647907552054886311e-11 1.706331372375887007e-11 1.806234024510413979e-11
3.800000000000000000e+01 1.565633063391726363e-11 1.621130557316876085e-11 1.716034406828347224e-11
3.900000000000000000e+01 1.489858290704731485e-11 1.542663532860782328e-11 1.632967512661783195e-11
4.000000000000000000e+01 1.419771018423409243e-11 1.470088489202661408e-11 1.556141213641085885e-11
4.100000000000000000e+01 1.354337937016148217e-11 1.402334620766582024e-11 1.484420904513714298e-11
4.200000000000000000e+01 1.293328601694445338e-11 1.339163032908360019e-11 1.417553374293461097e-11
4.300000000000000000e+01 1.236552947903518920e-11 1.280376759692844161e-11 1.355329960376734986e-11
4.400000000000000000e+01 1.183555013301326095e-11 1.225503445753374562e-11 1.297250413698987177e-11
4.500000000000000000e+01 1.133770523940382912e-11 1.173958560978019213e-11 1.242695703236198307e-11
4.600000000000000000e+01 1.087105500990943499e-11 1.125644670369794877e-11 1.191562497482726437e-11
4.700000000000000000e+01 1.043494782000001676e-11 1.080494191212192524e-11 1.143779054499689883e-11
4.800000000000000000e+01 1.002727867747431381e-11 1.038289022013510942e-11 1.099114252226501798e-11
4.900000000000000000e+01 9.644381347418950232e-12 9.986493708871409789e-12 1.057165760063458247e-11
5.000000000000000000e+01 9.282117315036936784e-12 9.611465429922280229e-12 1.017479485776312809e-11
5.100000000000000000e+01 8.939741412043227514e-12 9.257033129950111696e-12 9.799735811375018221e-12
5.200000000000000000e+01 8.616899002251832808e-12 8.922829183514794253e-12 9.446090816814582411e-12
5.300000000000000000e+01 8.312470521497549590e-12 8.607693870488163407e-12 9.112631737674597218e-12
5.400000000000000000e+01 8.024519924395839254e-12 8.309621993527305074e-12 8.797235438308535501e-12
5.500000000000000000e+01 7.750883013660028226e-12 8.026372116010332645e-12 8.497528749918352798e-12
5.600000000000000000e+01 7.491221682216879243e-12 7.757593803323553176e-12 8.213140449142385095e-12
5.700000000000000000e+01 7.245389689431024776e-12 7.503135330251707916e-12 7.943909741892161914e-12
5.800000000000000000e+01 7.012811446104789847e-12 7.262400394121716568e-12 7.689205262053329942e-12
5.900000000000000000e+01 6.792455391798953045e-12 7.034320548608903721e-12 7.447895894031849326e-12
6.000000000000000000e+01 6.582807372046689753e-12 6.817327637587224178e-12 7.218321595425847922e-12
6.100000000000000000e+01 6.382293715222510276e-12 6.609791911688164379e-12 6.998757133919785727e-12
6.200000000000000000e+01 6.190721662680633395e-12 6.411513656536647063e-12 6.788990942129415122e-12
6.300000000000000000e+01 6.008116487516709252e-12 6.222518983544731137e-12 6.589050490681254199e-12
6.400000000000000000e+01 5.834288215885673624e-12 6.042611154614356057e-12 6.398727376535121038e-12
6.500000000000000000e+01 5.668819272889073101e-12 5.871357791727206829e-12 6.217563785333610118e-12
6.600000000000000000e+01 5.511052128454847908e-12 5.708078086548994080e-12 6.044838953845169392e-12
6.700000000000000000e+01 5.360076943220254603e-12 5.551830010026850118e-12 5.879555632332426561e-12
6.800000000000000000e+01 5.214978682639895574e-12 5.401666154011390715e-12 5.720710900723286122e-12
6.900000000000000000e+01 5.075664218916342482e-12 5.257490044445311818e-12 5.568202599069185460e-12
7.000000000000000000e+01 4.942181398249355689e-12 5.119351159763573298e-12 5.422083088105757954e-12
7.100000000000000000e+01 4.814468785537328092e-12 4.987185837230332555e-12 5.282284993428590491e-12
7.200000000000000000e+01 4.692349946274021340e-12 4.860811352919237246e-12 5.148614940363908734e-12
7.300000000000000000e+01 4.575527728447179370e-12 4.739920001701257137e-12 5.020747288839258360e-12
7.400000000000000000e+01 4.463578544430869424e-12 4.624073177230625728e-12 4.898217868259841653e-12
7.500000000000000000e+01 4.355946652889120865e-12 4.512695451926393126e-12 4.780417712374801118e-12
7.600000000000000000e+01 4.252085754070818610e-12 4.405221182242392734e-12 4.666748206084605132e-12
7.700000000000000000e+01 4.151926225280715032e-12 4.301578275078801623e-12 4.557133037572830392e-12
7.800000000000000000e+01 4.055483095264090670e-12 4.201782292892880747e-12 4.451588654380151611e-12
7.900000000000000000e+01 3.962713635778469795e-12 4.105789007322865017e-12 4.350068226091784348e-12
8.000000000000000000e+01 3.873514664273053955e-12 4.013491606826681419e-12 4.252458689097195579e-12
8.100000000000000000e+01 3.787719846563145591e-12 3.924717904321932935e-12 4.158577791341020618e-12
8.200000000000000000e+01 3.705096999508327075e-12 3.839227544824623116e-12 4.068171137076490667e-12
8.300000000000000000e+01 3.625345393692533225e-12 3.756709213089133546e-12 3.980909231622627103e-12
8.400000000000000000e+01 3.548171819028828787e-12 3.676859377650078462e-12 3.896470819766700418e-12
8.500000000000000000e+01 3.473539178693922133e-12 3.599639638408905078e-12 3.814815248356039299e-12
8.600000000000000000e+01 3.401454353010086316e-12 3.525057120532308536e-12 3.735950047293746631e-12
8.700000000000000000e+01 3.331891747365424956e-12 3.453085330215458892e-12 3.659847167658983691e-12
8.800000000000000000e+01 3.264791918640446191e-12 3.383662732684696612e-12 3.586441476775388348e-12
8.900000000000000000e+01 3.200060201630868278e-12 3.316691330193316993e-12 3.515629253280119698e-12
9.000000000000000000e+01 3.137565335471687367e-12 3.252035240021750996e-12 3.447266682189143239e-12
9.100000000000000000e+01 3.077138090063123797e-12 3.189519272479008261e-12 3.381168349965645426e-12
9.200000000000000000e+01 3.018569892494055356e-12 3.128927508899086757e-12 3.317105739589712028e-12
9.300000000000000000e+01 2.961664587609677714e-12 3.070056886430326390e-12 3.254863943233564023e-12
9.400000000000000000e+01 2.906405608237469867e-12 3.012890259934492715e-12 3.194424826102619228e-12
9.500000000000000000e+01 2.852811524758234565e-12 2.957446860583679289e-12 3.135808756163694965e-12
9.600000000000000000e+01 2.800884515624574452e-12 2.903728950271188404e-12 3.079018144767596418e-12
9.700000000000000000e+01 2.750609723146530154e-12 2.851721154679060779e-12 3.024036740865818755e-12
9.800000000000000000e+01 2.701954609280988326e-12 2.801389796347483361e-12 2.970828925215314911e-12
9.900000000000000000e+01 2.654868311417320958e-12 2.752682227741687729e-12 2.919339004595832232e-12
1.000000000000000000e+02 2.609280998168050748e-12 2.705526164321988780e-12 2.869490506017191282e-12
1.010000000000000000e+02 2.565103225155746527e-12 2.659829017611310384e-12 2.821185470930966726e-12
1.020000000000000000e+02 2.522225290799288990e-12 2.615477228263339893e-12 2.774303749443423918e-12
1.030000000000000000e+02 2.480516592106423495e-12 2.572335599132565628e-12 2.728702294524681893e-12
1.040000000000000000e+02 2.439856795853261837e-12 2.530279564425335323e-12 2.684249307784490113e-12
1.050000000000000000e+02 2.400235535246489530e-12 2.489298398110356166e-12 2.640933450144935239e-12
1.060000000000000000e+02 2.361665042529492724e-12 2.449404769016888704e-12 2.598768136821772056e-12
1.070000000000000000e+02 2.324149245181291571e-12 2.410602748424074136e-12 2.557757684255863550e-12
1.080000000000000000e+02 2.287683471323115321e-12 2.372887505066321885e-12 2.517896987308254326e-12
1.090000000000000000e+02 2.252254155126230302e-12 2.336245000138072729e-12 2.479171196452099682e-12
1.100000000000000000e+02 2.217838542222285394e-12 2.300651682295414383e-12 2.441555394973390347e-12
1.110000000000000000e+02 2.184404395107372865e-12 2.266074182661473095e-12 2.405014276161629477e-12
1.120000000000000000e+02 2.151909698551741341e-12 2.232469009826144641e-12 2.369501820508043136e-12
1.130000000000000000e+02 2.120302365007627424e-12 2.199782244854627437e-12 2.334960972900652901e-12
1.140000000000000000e+02 2.089519940017086502e-12 2.167949236285897407e-12 2.301323319818091544e-12
1.150000000000000000e+02 2.059489307617938978e-12 2.136894295139984174e-12 2.268508766526557790e-12
1.160000000000000000e+02 2.030143772501236639e-12 2.106548379504732332e-12 2.236444253158264981e-12
1.170000000000000000e+02 2.001477292453766705e-12 2.076905239622008633e-12 2.205123174600737542e-12
1.180000000000000000e+02 1.973496317048380143e-12 2.047971558023183313e-12 2.174552612394631965e-12
1.190000000000000000e+02 1.946202861460313097e-12 2.019749426380646255e-12 2.144734789479386890e-12
1.200000000000000000e+02 1.919594365517747126e-12 1.992236199572656431e-12 2.115666915723001261e-12
1.210000000000000000e+02 1.893663552747973018e-12 1.965424349744429067e-12 2.087341033457459762e-12
1.220000000000000000e+02 1.868398289424808710e-12 1.939301320373613553e-12 2.059743863008509357e-12
1.230000000000000000e+02 1.843781443620416453e-12 1.913849380327610631e-12 2.032856648229203378e-12
1.240000000000000000e+02 1.819790744251466219e-12 1.889045477931562146e-12 2.006655002030930954e-12
1.250000000000000000e+02 1.796398640125926577e-12 1.864861095026925555e-12 1.981108751916334245e-12
1.260000000000000000e+02 1.773572158994879428e-12 1.841262101036325408e-12 1.956181785511593994e-12
1.270000000000000000e+02 1.751272766597429317e-12 1.818208607024634638e-12 1.931831896096834931e-12
1.280000000000000000e+02 1.729456225711261858e-12 1.795654819763201822e-12 1.908010628141550806e-12
1.290000000000000000e+02 1.708082817567501834e-12 1.773559623658173857e-12 1.884674476110410045e-12
1.300000000000000000e+02 1.687149573254277012e-12 1.751919949007218316e-12 1.861820197992263372e-12
1.310000000000000000e+02 1.666661328227434432e-12 1.730740805530325014e-12 1.839453101830854401e-12
1.320000000000000000e+02 1.646620610746492672e-12 1.710024814138237029e-12 1.817575967198664071e-12
1.330000000000000000e+02 1.627027575074961626e-12 1.689772137761488432e-12 1.796188971966385035e-12
1.340000000000000000e+02 1.607879934674371601e-12 1.669980412174421584e-12 1.775289619074911116e-12
1.350000000000000000e+02 1.589172895405217928e-12 1.650644676824228292e-12 1.754872663311722368e-12
1.360000000000000000e+02 1.570899088722250413e-12 1.631757305659360697e-12 1.734930038075964872e-12
1.370000000000000000e+02 1.553048504872274424e-12 1.613307937954805085e-12 1.715450782157975694e-12
1.380000000000000000e+02 1.535608426093211123e-12 1.595283409139865119e-12 1.696420966504991336e-12
1.390000000000000000e+02 1.518563359810641419e-12 1.577667681625318416e-12 1.677823620996903739e-12
1.400000000000000000e+02 1.501894971834980208e-12 1.560441775632458114e-12 1.659638661216993816e-12
1.410000000000000000e+02 1.485582019561163854e-12 1.543583700016479279e-12 1.641842815224546749e-12
1.420000000000000000e+02 1.469600285163311384e-12 1.527068383098660972e-12 1.624409550326214593e-12
1.430000000000000000e+02 1.453922508795038210e-12 1.510867603487868477e-12 1.607308999848002102e-12
1.440000000000000000e+02 1.438524568154985141e-12 1.494956388045833240e-12 1.590514734941905549e-12
