# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
3.300000000000000000e+01 1.447844421275574939e-07 4.190024281246794378e-08 1.109804478931970258e-08 3.502442510981421144e-08 4.662641384628892746e-08 3.759752320758028689e-09 2.325875031445523995e-09 2.808350345840939017e-09
3.400000000000000000e+01 1.448132174608296323e-07 4.192176058899586699e-08 1.110594230539805011e-08 3.507381062501492387e-08 4.662157797186909945e-08 3.759471783228815267e-09 2.326386115799581349e-09 2.808699204366924457e-09
3.500000000000000000e+01 1.447830795066853968e-07 4.194385310688695299e-08 1.111412298329225258e-08 3.512497336386456861e-08 4.661716698485390288e-08 3.759227767799542661e-09 2.326933266374763336e-09 2.809085890108816394e-09
3.600000000000000000e+01 1.447000030156423192e-07 4.196648198362314223e-08 1.112258275935925241e-08 3.517791113744219364e-08 4.661314056794746964e-08 3.759016869287312792e-09 2.327514703656624078e-09 2.809508202464532104e-09
3.700000000000000000e+01 1.445632347768057606e-07 4.198965998656441462e-08 1.113131807476408042e-08 3.523263447492514423e-08 4.660946424903872407e-08 3.758836133867516191e-09 2.328129067018325839e-09 2.809964222717138866e-09
3.800000000000000000e+01 1.443811256609273988e-07 4.201334624627029466e-08 1.114032585805281632e-08 3.528914467366183213e-08 4.660610836770680474e-08 3.758682988155523691e-09 2.328774965811087921e-09 2.810452273530160694e-09
3.900000000000000000e+01 1.441620489412671422e-07 4.203754790898093361e-08 1.114960340732447907e-08 3.534745033978501353e-08 4.660304749676580725e-08 3.758555179184748913e-09 2.329451334996558005e-09 2.810970878078631960e-09
4.000000000000000000e+01 1.439031465930225780e-07 4.206223665532884297e-08 1.115914836293457957e-08 3.540755940824344739e-08 4.660025969580602765e-08 3.758450727328573608e-09 2.330157122649518788e-09 2.811518732154040927e-09
4.100000000000000000e+01 1.436061262774380478e-07 4.208742750583026730e-08 1.116895861438958827e-08 3.546948638813619949e-08 4.659772619233466963e-08 3.758367885962473970e-09 2.330891543157383385e-09 2.812094675826627432e-09
4.200000000000000000e+01 1.432772273576018745e-07 4.211308815890988211e-08 1.117903234819119416e-08 3.553323546786147084e-08 4.659543075109504370e-08 3.758305108740291560e-09 2.331653713871333574e-09 2.812697678292309635e-09
4.300000000000000000e+01 1.429137365725095958e-07 4.213923642488328715e-08 1.118936792112974967e-08 3.559882543553070340e-08 4.659335954615931143e-08 3.758261021167906854e-09 2.332443045040416128e-09 2.813326814026763508e-09
4.400000000000000000e+01 1.425174735943333731e-07 4.216584051783912826e-08 1.119996384756471436e-08 3.566626412297442174e-08 4.659150064997004122e-08 3.758234397755150015e-09 2.333258813270292609e-09 2.813981249292617289e-09
4.500000000000000000e+01 1.420947630115992329e-07 4.219291965567339133e-08 1.121081886028477125e-08 3.573557099380705301e-08 4.658984399899510677e-08 3.758224142617049853e-09 2.334100562101535113e-09 2.814660235197477160e-09
4.600000000000000000e+01 1.416474664854288587e-07 4.222044307660621807e-08 1.122193177718880478e-08 3.580675379307151059e-08 4.658838095119826857e-08 3.758229273886114796e-09 2.334967679821453331e-09 2.815363090609596954e-09
4.700000000000000000e+01 1.411774697525326327e-07 4.224843070868585188e-08 1.123330157738825754e-08 3.587983192822211080e-08 4.658710435216785001e-08 3.758248907638995983e-09 2.335859804888929182e-09 2.816089198016137267e-09
