# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
1.000000000000000000e+01 1.109971973743567306e-07 5.025207165619480137e-08 1.949515546404027681e-08 3.837879153901067194e-08 1.326493935083596959e-07 1.157383553301020285e-08 5.230372264525248436e-09 7.262344729916970242e-09
1.100000000000000000e+01 1.150375841042654021e-07 5.019433170195275590e-08 1.947932773648980101e-08 3.835588970779599436e-08 1.322478535394454297e-07 1.153862525000182851e-08 5.220360449048165432e-09 7.246276469991672064e-09
1.200000000000000000e+01 1.186233615575389917e-07 5.015396445559806033e-08 1.946956077419324926e-08 3.834420604705045867e-08 1.319421093923428317e-07 1.151175902220363039e-08 5.213025907804048801e-09 7.234323565735479322e-09
1.300000000000000000e+01 1.218661366493972952e-07 5.012618644254908034e-08 1.946429655361562550e-08 3.834097923084838970e-08 1.317051826334138044e-07 1.149084617548478109e-08 5.207627223862123816e-09 7.225333753714389880e-09
1.400000000000000000e+01 1.247513741966172151e-07 5.010767649699192019e-08 1.946251278814237967e-08 3.834441765611508891e-08 1.315183319240139582e-07 1.147426864895838554e-08 5.203663827711508572e-09 7.218530498040780579e-09
1.500000000000000000e+01 1.273586717373385477e-07 5.009628389809593964e-08 1.946349930375193806e-08 3.835327024260611739e-08 1.313679955408174050e-07 1.146089673995806396e-08 5.200787031461140925e-09 7.213371456090854202e-09
1.600000000000000000e+01 1.296973993681412627e-07 5.009041569407053349e-08 1.946676236507478207e-08 3.836668401158305700e-08 1.312448495448590419e-07 1.144994288986934032e-08 5.198753103788592069e-09 7.209478354590177935e-09
1.700000000000000000e+01 1.317739907900469953e-07 5.008902186380956914e-08 1.947194487294231458e-08 3.838401224073477600e-08 1.311425377271801805e-07 1.144085874641125721e-08 5.197391103287697916e-09 7.206585774373656696e-09
1.800000000000000000e+01 1.336464483585028981e-07 5.009119119725696626e-08 1.947878240860127419e-08 3.840481831835704240e-08 1.310566739241887931e-07 1.143325299480823740e-08 5.196577196399101016e-09 7.204502854696999698e-09
1.900000000000000000e+01 1.353205218184977116e-07 5.009640447172834867e-08 1.948708262325729887e-08 3.842873543708405326e-08 1.309839778208702695e-07 1.142683761149996767e-08 5.196221027902338115e-09 7.203089319208511466e-09
2.000000000000000000e+01 1.368006113098819748e-07 5.010409479581668986e-08 1.949669126485176733e-08 3.845553498927398644e-08 1.309222050214332044e-07 1.142139278930650647e-08 5.196252546186023334e-09 7.202237002708590522e-09
2.100000000000000000e+01 1.381107306976346640e-07 5.011400378287644729e-08 1.950749755316513666e-08 3.848498926126165795e-08 1.308692369019132852e-07 1.141674539149463000e-08 5.196617865764499856e-09 7.201862085621418472e-09
2.200000000000000000e+01 1.392775460825436840e-07 5.012575553630129248e-08 1.951940981083622407e-08 3.851698465577753494e-08 1.308239292240377144e-07 1.141276054588184654e-08 5.197274648428750592e-09 7.201898463604828586e-09
2.300000000000000000e+01 1.403022785155850215e-07 5.013920313438481949e-08 1.953235793389782749e-08 3.855137408100940291e-08 1.307850501586740059e-07 1.140933055610711924e-08 5.198189365337487395e-09 7.202293704172902742e-09
